text,href
Webarchive template wayback links,/wiki/Category:Webarchive_template_wayback_links
Articles with short description,/wiki/Category:Articles_with_short_description
Short description is different from Wikidata,/wiki/Category:Short_description_is_different_from_Wikidata
Articles needing additional references from June 2011,/wiki/Category:Articles_needing_additional_references_from_June_2011
All articles needing additional references,/wiki/Category:All_articles_needing_additional_references
Articles with limited geographic scope from February 2015,/wiki/Category:Articles_with_limited_geographic_scope_from_February_2015
United States-centric,/wiki/Category:United_States-centric
Articles with multiple maintenance issues,/wiki/Category:Articles_with_multiple_maintenance_issues
Articles needing more detailed references,/wiki/Category:Articles_needing_more_detailed_references
All articles with unsourced statements,/wiki/Category:All_articles_with_unsourced_statements
Articles with unsourced statements from August 2007,/wiki/Category:Articles_with_unsourced_statements_from_August_2007
Articles with unsourced statements from June 2011,/wiki/Category:Articles_with_unsourced_statements_from_June_2011
Articles with unsourced statements from May 2023,/wiki/Category:Articles_with_unsourced_statements_from_May_2023
Wikipedia articles needing page number citations from July 2024,/wiki/Category:Wikipedia_articles_needing_page_number_citations_from_July_2024
